panel_id,service_id,domain,axis_type,rank,N_p,norm_rank,rank_pct
fig01_t1,svc_699a5e2f3f410152,APP,SERVICE_BRAND,1,15,0.0,0.06666666666666667
fig01_t1,svc_24e6654bfd1ab85b,APP,SERVICE_BRAND,2,15,0.07142857142857142,0.13333333333333333
fig01_t1,svc_bbdefa2950f49882,APP,SERVICE_BRAND,3,15,0.14285714285714285,0.2
fig01_t1,svc_8349e143ed01f677,APP,SERVICE_BRAND,4,15,0.21428571428571427,0.26666666666666666
fig01_t1,svc_9390ef32addf32bf,APP,SERVICE_BRAND,5,15,0.2857142857142857,0.3333333333333333
fig01_t1,svc_ff3ee504792f6cfc,APP,SERVICE_BRAND,6,15,0.35714285714285715,0.4
fig01_t1,svc_79cd0e07c1eac5dc,APP,SERVICE_BRAND,7,15,0.42857142857142855,0.4666666666666667
fig01_t1,svc_ad44f9ade6b9b551,APP,SERVICE_BRAND,8,15,0.5,0.5333333333333333
fig01_t1,svc_efda6e0b8457d63c,APP,SERVICE_BRAND,9,15,0.5714285714285714,0.6
fig01_t1,svc_65f15ce8fee25b24,APP,SERVICE_BRAND,10,15,0.6428571428571429,0.6666666666666666
fig01_t1,svc_dd5061eb74e2d4d4,APP,SERVICE_BRAND,11,15,0.7142857142857143,0.7333333333333333
fig01_t1,svc_46e5a43370f75308,APP,SERVICE_BRAND,12,15,0.7857142857142857,0.8
fig01_t1,svc_2cd43b99c1ed87cf,APP,SERVICE_BRAND,13,15,0.8571428571428571,0.8666666666666667
fig01_t1,svc_ed7b9bea21def8f8,APP,SERVICE_BRAND,14,15,0.9285714285714286,0.9333333333333333
fig01_t1,svc_35319a420294ee17,APP,SERVICE_BRAND,15,15,1.0,1.0
fig01_t2,svc_24e6654bfd1ab85b,APP,SERVICE_BRAND,1,15,0.0,0.06666666666666667
fig01_t2,svc_699a5e2f3f410152,APP,SERVICE_BRAND,2,15,0.07142857142857142,0.13333333333333333
fig01_t2,svc_8349e143ed01f677,APP,SERVICE_BRAND,3,15,0.14285714285714285,0.2
fig01_t2,svc_ddb7aefefe0273b4,APP,SERVICE_BRAND,4,15,0.21428571428571427,0.26666666666666666
fig01_t2,svc_e1fadb214cde51c0,APP,SERVICE_BRAND,5,15,0.2857142857142857,0.3333333333333333
fig01_t2,svc_ff3ee504792f6cfc,APP,SERVICE_BRAND,6,15,0.35714285714285715,0.4
fig01_t2,svc_9390ef32addf32bf,APP,SERVICE_BRAND,7,15,0.42857142857142855,0.4666666666666667
fig01_t2,svc_5ede56738376a8c5,APP,SERVICE_BRAND,8,15,0.5,0.5333333333333333
fig01_t2,svc_60d4d22e3809f780,APP,SERVICE_BRAND,9,15,0.5714285714285714,0.6
fig01_t2,svc_79cd0e07c1eac5dc,APP,SERVICE_BRAND,10,15,0.6428571428571429,0.6666666666666666
fig01_t2,svc_5beeafeac2e27eae,APP,SERVICE_BRAND,11,15,0.7142857142857143,0.7333333333333333
fig01_t2,svc_13ed070478ef62c3,APP,SERVICE_BRAND,12,15,0.7857142857142857,0.8
fig01_t2,svc_46e5a43370f75308,APP,SERVICE_BRAND,13,15,0.8571428571428571,0.8666666666666667
fig01_t2,svc_a215c45b2cc585ca,APP,SERVICE_BRAND,14,15,0.9285714285714286,0.9333333333333333
fig01_t2,svc_35319a420294ee17,APP,SERVICE_BRAND,15,15,1.0,1.0
fig02_t1,svc_91b952863c62993d,APP,SERVICE_BRAND,1,15,0.0,0.06666666666666667
fig02_t1,svc_fb3d1841dddfd982,APP,SERVICE_BRAND,2,15,0.07142857142857142,0.13333333333333333
fig02_t1,svc_60d4d22e3809f780,APP,SERVICE_BRAND,3,15,0.14285714285714285,0.2
fig02_t1,svc_e1fadb214cde51c0,APP,SERVICE_BRAND,4,15,0.21428571428571427,0.26666666666666666
fig02_t1,svc_190b4501e4415d5e,APP,SERVICE_BRAND,5,15,0.2857142857142857,0.3333333333333333
fig02_t1,svc_65f15ce8fee25b24,APP,SERVICE_BRAND,6,15,0.35714285714285715,0.4
fig02_t1,svc_d5ae5426eac23877,APP,SERVICE_BRAND,7,15,0.42857142857142855,0.4666666666666667
fig02_t1,svc_ff3ee504792f6cfc,APP,SERVICE_BRAND,8,15,0.5,0.5333333333333333
fig02_t1,svc_088809bf9b31bc6a,APP,SERVICE_BRAND,9,15,0.5714285714285714,0.6
fig02_t1,svc_ad44f9ade6b9b551,APP,SERVICE_BRAND,10,15,0.6428571428571429,0.6666666666666666
fig02_t1,svc_b728911c9782edb8,APP,SERVICE_BRAND,11,15,0.7142857142857143,0.7333333333333333
fig02_t1,svc_8fd5d30f8b1d707b,APP,SERVICE_BRAND,12,15,0.7857142857142857,0.8
fig02_t1,svc_95967b50683649f2,APP,SERVICE_BRAND,13,15,0.8571428571428571,0.8666666666666667
fig02_t1,svc_64d30ef262d8782d,APP,SERVICE_BRAND,14,15,0.9285714285714286,0.9333333333333333
fig02_t1,svc_e296af221a5f7128,APP,SERVICE_BRAND,15,15,1.0,1.0
