panel_id,figure_id,domain,axis_type,source_section,period_axis,rows_expected,rows_extracted,entities,n_metrics,source_rows,row_count_verification,row_count_ok,exp_vs_extr,extraction_confidence
fig01_t1,fig01,APP,SERVICE_BRAND,1,HALF_YEAR,15,15,15,1,15,DECLARED_TOP_N,True,MATCH,HIGH
fig01_t2,fig01,APP,SERVICE_BRAND,1,HALF_YEAR,15,15,15,1,15,DECLARED_TOP_N,True,MATCH,HIGH
fig02_t1,fig02,APP,SERVICE_BRAND,2,HALF_YEAR,15,15,15,4,60,DECLARED_TOP_N,True,MATCH,HIGH
fig03_t1,fig03,APP,SERVICE_BRAND,3,HALF_YEAR,10,10,10,2,20,DECLARED_TOP_N,True,MATCH,HIGH
fig04_t1,fig04,APP,SERVICE_BRAND,1,HALF_YEAR,,5,5,2,10,VISUAL_COUNT_ONLY,,EXPECTED_NULL,HIGH
fig04_t2,fig04,APP,SERVICE_BRAND,1,HALF_YEAR,,5,5,1,5,VISUAL_COUNT_ONLY,,EXPECTED_NULL,HIGH
fig05_t1,fig05,APP,SERVICE_BRAND,2,HALF_YEAR,,3,3,3,9,VISUAL_COUNT_ONLY,,EXPECTED_NULL,HIGH
fig05_t2,fig05,APP,SERVICE_BRAND,2,HALF_YEAR,,3,3,1,3,VISUAL_COUNT_ONLY,,EXPECTED_NULL,HIGH
fig06_t1,fig06,RETAIL,SERVICE_BRAND,1,HALF_YEAR,15,15,15,1,15,DECLARED_TOP_N,True,MATCH,HIGH
fig06_t2,fig06,RETAIL,SERVICE_BRAND,1,HALF_YEAR,15,15,15,1,15,DECLARED_TOP_N,True,MATCH,HIGH
fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,2,SINGLE_MONTH,10,10,10,3,30,DECLARED_TOP_N,True,MATCH,HIGH
fig08_t1,fig08,RETAIL,SERVICE_BRAND,3,HALF_YEAR,10,10,10,3,30,DECLARED_TOP_N,True,MATCH,HIGH
fig09_t1,fig09,RETAIL,SERVICE_BRAND,4,HALF_YEAR,5,5,5,2,10,DECLARED_TOP_N,True,MATCH,HIGH
fig10_t1,fig10,RETAIL,SERVICE_BRAND,1,HALF_YEAR,,5,5,2,10,VISUAL_COUNT_ONLY,,EXPECTED_NULL,HIGH
fig10_t2,fig10,RETAIL,SERVICE_BRAND,1,HALF_YEAR,,5,5,1,5,VISUAL_COUNT_ONLY,,EXPECTED_NULL,HIGH
fig11_t1,fig11,RETAIL,SERVICE_BRAND,2,HALF_YEAR,,3,3,2,6,VISUAL_COUNT_ONLY,,EXPECTED_NULL,HIGH
fig11_t2,fig11,RETAIL,SERVICE_BRAND,2,HALF_YEAR,,3,3,1,3,VISUAL_COUNT_ONLY,,EXPECTED_NULL,HIGH
