web_target_group_id,web_target_key,member_canonical_keys,member_count,expected_url_relationship,expected_url_relationship_is_hypothesis,expected_url_relationship_falsifier,hypothesis_outcome,hypothesis_outcome_basis,confirmed_by_url,member_registered_domains,web_target_url,falsifier_scope,resolved_web_target_count,_status,_base_sha,_shadow_lane,_created_before_p0_close,_authoritative,_real_target_outcome_used,_real_target_measurement,_requires_post_p0_reconciliation
wtg_5b8c59f6fd9839f7,coupang,"coupang_app,coupang_retail",2,SAME_LANDING_EXPECTED,True,두 measurement_entity 의 official_landing_url 이 서로 다른 PSL 등록도메인으로 확정되면 SPLIT 한다.,NOT_TESTABLE_MEMBER_URL_UNRESOLVED,"member ['coupang_app', 'coupang_retail'] 의 랜딩이 확정되지 않았고, 확인된 랜딩 집합도 {'coupang_app': [], 'coupang_retail': []} 로 갈리지 않아 falsifier 를 시험할 수 없다. 관측: coupang_app=(URL 미확정)[rd=None][UNDETERMINED_URL_EVIDENCE]; coupang_retail=(URL 미확정)[rd=None][UNDETERMINED_URL_EVIDENCE]. **가설을 확인된 것으로도 반증된 것으로도 처리하지 않는다.**",False,"None,None",,REGISTERED_DOMAIN_ONLY,1,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_f9fbd771ffcdbd42,gmarket,"gmarket_app,gmarket_auction",2,SAME_LANDING_EXPECTED,True,RETAIL entity 의 랜딩이 APP entity 와 다른 등록도메인 또는 다른 경로로 확정되면 SPLIT 한다.,FALSIFIED_SPLIT_SAME_DOMAIN_DIFFERENT_PATH,"member 별 확인된 랜딩 집합이 {'gmarket_app': ['m.gmarket.co.kr/', 'www.gmarket.co.kr/'], 'gmarket_auction': ['www.auction.co.kr/', 'www.gmarket.co.kr/']} 로 갈린다 (falsifier scope REGISTERED_DOMAIN_OR_PATH). 한 member 의 랜딩 하나만 달라도 '다른 등록도메인 또는 경로로 확정되면 SPLIT' 이 발화한다 — SPLIT. 대표 랜딩을 고르지 못한 member ['gmarket_app', 'gmarket_auction'] 가 있으나, 반증에는 그 선택이 필요하지 않다. 관측: gmarket_app=https://m.gmarket.co.kr/[rd=gmarket.co.kr][ELIGIBLE_WEB]; gmarket_auction=(URL 미확정)[rd=None][UNDETERMINED_URL_EVIDENCE]",False,"gmarket.co.kr,None",,REGISTERED_DOMAIN_OR_PATH,2,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_6d5510a695d0a614,naver,"naver_naverpay,naver_app",2,SAME_LANDING_EXPECTED,True,RETAIL entity 의 랜딩이 APP entity 와 다른 등록도메인 또는 다른 경로로 확정되면 SPLIT 한다.,FALSIFIED_SPLIT_SAME_DOMAIN_DIFFERENT_PATH,"member 별 확인된 랜딩 집합이 {'naver_naverpay': ['home.pay.naver.com/', 'm.naver.com/'], 'naver_app': ['m.naver.com/', 'www.navercorp.com/service/portal']} 로 갈린다 (falsifier scope REGISTERED_DOMAIN_OR_PATH). 한 member 의 랜딩 하나만 달라도 '다른 등록도메인 또는 경로로 확정되면 SPLIT' 이 발화한다 — SPLIT. 대표 랜딩을 고르지 못한 member ['naver_naverpay', 'naver_app'] 가 있으나, 반증에는 그 선택이 필요하지 않다. 관측: naver_naverpay=(URL 미확정)[rd=None][UNDETERMINED_URL_EVIDENCE]; naver_app=https://m.naver.com[rd=naver.com][ELIGIBLE_WEB]",False,"None,naver.com",,REGISTERED_DOMAIN_OR_PATH,2,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_49a5eca8b58f7270,11st,11st,1,UNKNOWN,False,,NOT_APPLICABLE_SINGLETON,member 가 1건인 그룹이다. 그룹 내부 URL 관계가 성립하지 않는다.,False,11st.co.kr,https://www.11st.co.kr/,N/A,1,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_a215c45b2cc585ca,adot_call,adot_call,1,UNKNOWN,False,,NOT_APPLICABLE_SINGLETON,member 가 1건인 그룹이다. 그룹 내부 URL 관계가 성립하지 않는다.,False,sktelecom.com,https://a.sktelecom.com/,N/A,1,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_c5285b96b598a08b,baemin,baemin,1,UNKNOWN,False,,NOT_APPLICABLE_SINGLETON,member 가 1건인 그룹이다. 그룹 내부 URL 관계가 성립하지 않는다.,False,baemin.com,https://baemin.com/,N/A,1,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_65f15ce8fee25b24,band,band,1,UNKNOWN,False,,NOT_APPLICABLE_SINGLETON,member 가 1건인 그룹이다. 그룹 내부 URL 관계가 성립하지 않는다.,False,band.us,https://www.band.us/,N/A,1,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_e1fadb214cde51c0,cashwalk,cashwalk,1,UNKNOWN,False,,NOT_APPLICABLE_SINGLETON,member 가 1건인 그룹이다. 그룹 내부 URL 관계가 성립하지 않는다.,False,cashwalk.com,https://cashwalk.com/,N/A,1,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_9390ef32addf32bf,chrome,chrome,1,UNKNOWN,False,,NOT_APPLICABLE_SINGLETON,member 가 1건인 그룹이다. 그룹 내부 URL 관계가 성립하지 않는다.,False,google.com,https://www.google.com/chrome/,N/A,1,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_4feab7e61bf642e8,cj_onstyle,cj_onstyle,1,UNKNOWN,False,,NOT_APPLICABLE_SINGLETON,member 가 1건인 그룹이다. 그룹 내부 URL 관계가 성립하지 않는다.,False,cjonstyle.com,https://display.cjonstyle.com/nfront/search/searchAllList/,N/A,1,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
