source_row_id,panel_id,figure_id,domain,table_title,panel_label,rank,entity_name_raw,metric_name,unit,value,value_label
row_5482f6ebc64467f1,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,1,카카오톡,사용자 평균,만 명,1377.0,"1,377"
row_e61915369d879c51,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,2,YouTube,사용자 평균,만 명,1329.0,"1,329"
row_27d3a9d3c839ea2d,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,3,Google,사용자 평균,만 명,1278.0,"1,278"
row_960e9151c44a35c8,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,4,네이버,사용자 평균,만 명,1256.0,"1,256"
row_d2c93e4f96ca6637,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,5,Chrome,사용자 평균,만 명,1143.0,"1,143"
row_853f04bc81ceada5,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,6,삼성 인터넷 브라우저,사용자 평균,만 명,935.0,935
row_1f073e328d57f451,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,7,쿠팡,사용자 평균,만 명,933.0,933
row_95d937ea4f85a2e6,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,8,삼성 계산기,사용자 평균,만 명,818.0,818
row_e106bd4b2ffde5a5,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,9,네이버지도,사용자 평균,만 명,775.0,775
row_64318f67f79e65de,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,10,밴드,사용자 평균,만 명,626.0,626
row_da6a0e4dcac8eaf9,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,11,삼성 월렛,사용자 평균,만 명,595.0,595
row_1c14860e168facbe,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,12,당근,사용자 평균,만 명,575.0,575
row_43c2d06e0b63b571,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,13,삼성 노트,사용자 평균,만 명,557.0,557
row_1e58e18c428a0f24,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,14,내 파일,사용자 평균,만 명,548.0,548
row_20a7ef1ba865c1aa,fig01_t1,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,TOP15,15,토스,사용자 평균,만 명,489.0,489
row_3a56ffe21f521e48,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,1,YouTube,사용시간 평균,백만 분,33272.0,"33,272"
row_d779788e7d496bff,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,2,카카오톡,사용시간 평균,백만 분,8652.0,"8,652"
row_9cdb8e85f7e4fa87,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,3,네이버,사용시간 평균,백만 분,5684.0,"5,684"
row_7916e135743cd3bf,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,4,TikTok Lite,사용시간 평균,백만 분,3092.0,"3,092"
row_52fdcd3859195cb1,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,5,캐시워크,사용시간 평균,백만 분,2350.0,"2,350"
row_2df0b09096dc8889,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,6,삼성 인터넷 브라우저,사용시간 평균,백만 분,2282.0,"2,282"
row_214c7f05bc123d35,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,7,Chrome,사용시간 평균,백만 분,2277.0,"2,277"
row_dc4e43e1a4b1f3f4,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,8,Instagram,사용시간 평균,백만 분,1655.0,"1,655"
row_e2033172022bf413,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,9,티맵,사용시간 평균,백만 분,1620.0,"1,620"
row_1862393e20c9aa1f,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,10,쿠팡,사용시간 평균,백만 분,1614.0,"1,614"
row_04b0e4614acae486,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,11,TikTok,사용시간 평균,백만 분,1439.0,"1,439"
row_c7b7797c3d64a0d2,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,12,Netflix,사용시간 평균,백만 분,1390.0,"1,390"
row_ce1c76c2fc7e6737,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,13,당근,사용시간 평균,백만 분,1371.0,"1,371"
row_3b64d6c8db3c8071,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,14,에이닷 전화,사용시간 평균,백만 분,1262.0,"1,262"
row_47f42f025dafc0f7,fig01_t2,fig01,APP,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,TOP15,15,토스,사용시간 평균,백만 분,1228.0,"1,228"
row_67aba21f126a8013,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,1,다음,점유율 - 50대,%,31.5,31.5
row_8f666ce43abaac81,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,1,다음,점유율 - 60대 이상,%,22.6,22.6
row_629ada201d456840,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,1,다음,점유율 합계,%,54.1,54.1%
row_b42814c91c24d616,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,1,다음,사용자,만 명,318.0,318만 명
row_c1e9370805244aa5,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,2,NH콕뱅크,점유율 - 50대,%,22.4,22.4
row_9beb27bba2d20d28,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,2,NH콕뱅크,점유율 - 60대 이상,%,20.1,20.1
row_697fe20b638f5c0f,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,2,NH콕뱅크,점유율 합계,%,42.5,42.5%
row_7b59170491e01222,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,2,NH콕뱅크,사용자,만 명,236.0,236만 명
row_ff4f76b067c53d0f,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,3,티맵,점유율 - 50대,%,28.2,28.2
row_8f2bc08d78df6028,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,3,티맵,점유율 - 60대 이상,%,12.6,12.6
row_6dede7426b6c6f3f,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,3,티맵,점유율 합계,%,40.8,40.8%
row_d332d92af87bde4a,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,3,티맵,사용자,만 명,479.0,479만 명
row_5777cab74be2eab4,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,4,캐시워크,점유율 - 50대,%,21.4,21.4
row_376d183a554304f8,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,4,캐시워크,점유율 - 60대 이상,%,17.2,17.2
row_45758ce4a5baa956,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,4,캐시워크,점유율 합계,%,38.6,38.6%
row_d7aa35ed55f15b8c,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,4,캐시워크,사용자,만 명,217.0,217만 명
row_f4510df303834f70,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,5,V3 Mobile Plus,점유율 - 50대,%,24.8,24.8
row_eae568ec293c0b41,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,5,V3 Mobile Plus,점유율 - 60대 이상,%,12.9,12.9
row_fc36d1643d54067c,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,5,V3 Mobile Plus,점유율 합계,%,37.7,37.7%
row_b1cf8888a37f817a,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,5,V3 Mobile Plus,사용자,만 명,379.0,379만 명
row_107efc78f0771924,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,6,밴드,점유율 - 50대,%,24.3,24.3
row_09fa40565d865461,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,6,밴드,점유율 - 60대 이상,%,13.0,13.0
row_49e939b9d22cae18,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,6,밴드,점유율 합계,%,37.3,37.3%
row_db5ff7a04cde31db,fig02_t1,fig02,APP,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,TOP15,6,밴드,사용자,만 명,626.0,626만 명
