web_target_group_id,web_target_key,service_id,canonical_service_key,service_name_canonical,web_eligibility_status,official_landing_url,observed_url,resolved_final_url,redirect_chain,http_status,page_title,registered_domain,url_type,url_discovery_method,url_evidence,url_reviewer,url_confidence,observation_confidence,reviewed_at,review_status,review_reasons,brand_token_in_title,cross_registered_domain_redirect,tls_compat_retry,review_note
wtg_49a5eca8b58f7270,11st,svc_49a5eca8b58f7270,11st,11번가,WEB_SERVICE,https://www.11st.co.kr/,https://www.11st.co.kr/,https://www.11st.co.kr/,[],200.0,11번가,11st.co.kr,WEB_SERVICE_LANDING,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://www.11st.co.kr/ → HTTP 200 · 페이지 제목 '11번가' · 등록도메인(PSL) 11st.co.kr,exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,오픈마켓 상품 탐색·구매가 브라우저에서 그대로 동작하는 서비스 진입점이다.
wtg_a215c45b2cc585ca,adot_call,svc_a215c45b2cc585ca,adot_call,에이닷 전화,OFFICIAL_PRODUCT_PAGE,https://www.skt-phone.co.kr/,https://www.skt-phone.co.kr/,https://www.skt-phone.co.kr/,[],200.0,SKT 에이닷 전화,skt-phone.co.kr,OFFICIAL_PRODUCT_PAGE,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://www.skt-phone.co.kr/ → HTTP 200 · 페이지 제목 'SKT 에이닷 전화' · 등록도메인(PSL) skt-phone.co.kr,exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,운영사(SKT)의 공식 페이지이지만 통화라는 핵심 기능은 단말 앱에서만 일어난다. 이 URL 에서 하는 일은 기능 소개와 가입 안내다.
wtg_c5285b96b598a08b,baemin,svc_c5285b96b598a08b,baemin,배달의민족,OFFICIAL_PRODUCT_PAGE,https://baemin.com/,https://baemin.com/,https://baemin.com/,[],200.0,배달의민족 - 배달팁 무료 배민클럽,baemin.com,OFFICIAL_PRODUCT_PAGE,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://baemin.com/ → HTTP 200 · 페이지 제목 '배달의민족 - 배달팁 무료 배민클럽' · 등록도메인(PSL) baemin.com,exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,브랜드 소개 페이지다. 주문이라는 핵심 기능은 앱에서만 일어난다.
wtg_65f15ce8fee25b24,band,svc_65f15ce8fee25b24,band,밴드,WEB_SERVICE,https://band.us/,https://band.us/,https://www.band.us/,"[{""status"": 301, ""from"": ""https://band.us/"", ""to"": ""https://www.band.us/""}]",200.0,밴드-모임이 쉬워진다,band.us,WEB_SERVICE_LANDING,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://band.us/ → HTTP 200 · 최종 URL https://www.band.us/ · 리다이렉트 1회 · 페이지 제목 '밴드-모임이 쉬워진다' · 등록도메인(PSL) band.us,exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,밴드 웹 클라이언트의 진입점이다. 로그인 후 글·댓글 등 모임 기능을 브라우저에서 쓴다.
wtg_e1fadb214cde51c0,cashwalk,svc_e1fadb214cde51c0,cashwalk,캐시워크,OFFICIAL_PRODUCT_PAGE,https://cashwalk.com/,https://cashwalk.com/,https://cashwalk.com/,[],200.0,"캐시워크 - 걸으면 돈버는 앱 1위! 만보기, 앱테크, 현금 이벤트까지",cashwalk.com,OFFICIAL_PRODUCT_PAGE,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,"https://cashwalk.com/ → HTTP 200 · 페이지 제목 '캐시워크 - 걸으면 돈버는 앱 1위! 만보기, 앱테크, 현금 이벤트까지' · 등록도메인(PSL) cashwalk.com",exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,걸음 적립이라는 핵심 기능은 단말 센서에 묶여 앱에서만 성립한다. 이 URL 은 소개 페이지이며 웹 애플리케이션이 없다.
wtg_9390ef32addf32bf,chrome,svc_9390ef32addf32bf,chrome,Chrome,OFFICIAL_PRODUCT_PAGE,https://www.google.com/chrome/,https://www.google.com/chrome/,https://www.google.com/chrome/,[],200.0,Chrome 웹브라우저,google.com,OFFICIAL_PRODUCT_PAGE,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://www.google.com/chrome/ → HTTP 200 · 페이지 제목 'Chrome 웹브라우저' · 등록도메인(PSL) google.com,exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,브라우저 제품 소개·다운로드 페이지다. 06 §2-3 이 말한 두 번째 경로 — 선탑재 가설을 '공식 랜딩이 OFFICIAL_PRODUCT_PAGE 임을 확인' 으로 해소한다. 선탑재 여부는 판정에 쓰지 않았다.
wtg_4feab7e61bf642e8,cj_onstyle,svc_4feab7e61bf642e8,cj_onstyle,CJ온스타일,WEB_SERVICE,https://www.cjonstyle.com/,https://www.cjonstyle.com/,https://display.cjonstyle.com/p/homeTab/main?hmtabMenuId=H00005&rPIC=homeonstyle,"[{""status"": 302, ""from"": ""https://www.cjonstyle.com/"", ""to"": ""https://display.cjonstyle.com/p/homeTab/main?hmtabMenuId=003147&rPIC=homeonstyle""}, {""status"": 302, ""from"": ""https://display.cjonstyle.com/p/homeTab/main?hmtabMenuId=003147&rPIC=homeonstyle"", ""to"": ""https://display.cjonstyle.com/p/main?rPIC=homeonstyle""}, {""status"": 302, ""from"": ""https://display.cjonstyle.com/p/main?rPIC=homeonstyle"", ""to"": ""https://display.cjonstyle.com/p/homeTab/main?hmtabMenuId=H00005&rPIC=homeonstyle""}]",200.0,홈 | CJ온스타일,cjonstyle.com,WEB_SERVICE_LANDING,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://www.cjonstyle.com/ → HTTP 200 · 최종 URL https://display.cjonstyle.com/p/homeTab/main?hmtabMenuId=H00005&rPIC=homeonstyle · 리다이렉트 3회 · 페이지 제목 '홈 | CJ온스타일' · 등록도메인(PSL) cjonstyle.com,exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,홈쇼핑 온라인몰 본체다. 같은 등록도메인 안에서 상품 탐색·구매가 동작한다.
wtg_51484a735cdb487b,compose_coffee,svc_51484a735cdb487b,compose_coffee,컴포즈커피,RETAIL_OFFLINE_ONLY,https://composecoffee.com/,https://composecoffee.com/,https://composecoffee.com/,[],200.0,컴포즈커피,composecoffee.com,OFFICIAL_PRODUCT_PAGE,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://composecoffee.com/ → HTTP 200 · 페이지 제목 '컴포즈커피' · 등록도메인(PSL) composecoffee.com,exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,매장·메뉴 안내 중심의 브랜드 사이트다. A1 이 잰 카드 결제는 오프라인 매장에서 일어나며 이 랜딩에서 일어나지 않는다.
wtg_22ffba7a86ea9919,costco,svc_22ffba7a86ea9919,costco,코스트코,WEB_SERVICE,https://www.costco.co.kr/,https://www.costco.co.kr/,https://www.costco.co.kr/,[],200.0,코스트코 온라인몰 | 코스트코 코리아,costco.co.kr,WEB_SERVICE_LANDING,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://www.costco.co.kr/ → HTTP 200 · 페이지 제목 '코스트코 온라인몰 | 코스트코 코리아' · 등록도메인(PSL) costco.co.kr,exec-agent(C013) / 검색 후보 → 직접 접속 확인,HIGH,HIGH,2026-08-26,REVIEWED,,True,False,False,한국 법인이 운영하는 온라인몰 본체다. 상품 탐색·구매가 브라우저에서 동작한다. 다만 A1 이 잰 결제 상당 부분은 창고형 매장 오프라인 결제일 수 있다.
wtg_5b8c59f6fd9839f7,coupang,svc_79cd0e07c1eac5dc,coupang_app,쿠팡,WEB_SERVICE,https://www.coupang.com/,https://www.coupang.com/,https://www.coupang.com/,[],403.0,Access Denied,coupang.com,WEB_SERVICE_LANDING,WEB_SEARCH_CANDIDATE_THEN_ONSITE_VERIFICATION,https://www.coupang.com/ → HTTP 403 · 페이지 제목 'Access Denied' · 등록도메인(PSL) coupang.com,exec-agent(C013) / 검색 후보 → 직접 접속 확인,MEDIUM,MEDIUM,2026-08-26,NEEDS_HUMAN_REVIEW,"LANDING_NOT_SEEN_BOT_BLOCKED,TITLE_DOES_NOT_NAME_BRAND",False,False,False,쿠팡 자신의 커머스 사이트이며 상품 탐색·구매가 브라우저에서 일어난다. 다만 우리 요청은 봇 차단(403)으로 막혀 랜딩 화면 자체를 보지 못했다.
